,match_id,bigmatchflag
181,20160131-M-Australian_Open-F-Novak_Djokovic-Andy_Murray,True
182,20160129-M-Australian_Open-SF-Andy_Murray-Milos_Raonic,True
183,20160128-M-Australian_Open-SF-Novak_Djokovic-Roger_Federer,True
184,20160127-M-Australian_Open-QF-Milos_Raonic-Gael_Monfils,True
185,20160126-M-Australian_Open-QF-Roger_Federer-Tomas_Berdych,True
186,20160126-M-Australian_Open-QF-Novak_Djokovic-Kei_Nishikori,True
187,20160125-M-Australian_Open-R16-Stanislas_Wawrinka-Milos_Raonic,True
188,20160124-M-Australian_Open-R16-Novak_Djokovic-Gilles_Simon,True
189,20160123-M-Australian_Open-R32-Stanislas_Wawrinka-Lukas_Rosol,True
190,20160122-M-Australian_Open-R32-Gilles_Simon-Federico_Delbonis,True
191,20160120-M-Australian_Open-R64-Roger_Federer_-Alexandr_Dolgopolov,True
192,20160119-M-Australian_Open-R128-Rafael_Nadal-Fernando_Verdasco,True
193,20150913-M-US_Open-F-Roger_Federer-Novak_Djokovic,True
194,20150911-M-US_Open-SF-Stanislas_Wawrinka-Roger_Federer,True
195,20150911-M-US_Open-SF-Novak_Djokovic-Marin_Cilic,True
196,20150910-M-US_Open-QF-Roger_Federer-Richard_Gasquet,True
197,20150909-M-US_Open-QF-Novak_Djokovic-Feliciano_Lopez,True
198,20150908-M-US_Open-R16-Roger_Federer-John_Isner,True
199,20150907-M-US_Open-R16-Andy_Murray-Kevin_Anderson,True
200,20150905-M-US_Open-R32-Roger_Federer-Philipp_Kohlschreiber,True
201,20150903-M-US_Open-R64-Steve_Darcis-Roger_Federer,True
202,20150903-M-US_Open-R64-Bernard_Tomic-Lleyton_Hewitt,True
203,20150902-M-US_Open-R64-Fernando_Verdasco-Milos_Raonic,True
204,20150901-M-US_Open-R128-Roger_Federer-Leonardo_Mayer,True
205,20150831-M-US_Open-R128-Tim_Smyczek-Milos_Raonic,True
206,20150712-M-Wimbledon-F-Roger_Federer-Novak_Djokovic,True
207,20150710-M-Wimbledon-SF-Roger_Federer-Andy_Murray,True
208,20150710-M-Wimbledon-SF-Novak_Djokovic-Richard_Gasquet,True
209,20150709-M-Wimbledon-QF-Marin_Cilic-Novak_Djokovic,True
210,20150708-M-Wimbledon-QF-Roger_Federer-Gilles_Simon,True
211,20150706-M-Wimbledon-R16-Andy_Murray-Ivo_Karlovic,True
212,20150704-M-Wimbledon-R32-Samuel_Groth-Roger_Federer,True
213,20150702-M-Wimbledon-R64-Sam_Querrey-Roger_Federer,True
214,20150702-M-Wimbledon-R64-Dustin_Brown-Rafael_Nadal,True
215,20150630-M-Wimbledon-R128-Roger_Federer-Damir_Dzumhur,True
216,20150607-M-Roland_Garros-F-Stanislas_Wawrinka-Novak_Djokovic,True
217,20150605-M-Roland_Garros-SF-Novak_Djokovic-Andy_Murray,True
218,20150603-M-Roland_Garros-QF-Novak_Djokovic-Rafael_Nadal,True
219,20150531-M-Roland_Garros-R16-Roger_Federer-Gael_Monfils,True
220,20150530-M-Roland_Garros-R32-Nick_Kyrgios-Andy_Murray,True
221,20150529-M-Roland_Garros-R32-Damir_Dzumhur-Roger_Federer,True
222,20150528-M-Roland_Garros-R64-Jeremy_Chardy-John_Isner,True
223,20150526-M-Roland_Garros-R128-Richard_Gasquet-Germain_Gigounon,True
224,20150524-M-Roland_Garros-R128-Paul_Henri_Mathieu-Kei_Nishikori,True
225,20150201-M-Australian_Open-F-Novak_Djokovic-Andy_Murray,True
226,20150130-M-Australian_Open-SF-Novak_Djokovic-Stanislas_Wawrinka,True
227,20150129-M-Australian_Open-SF-Tomas_Berdych-Andy_Murray,True
228,20150127-M-Australian_Open-QF-Tomas_Berdych-Rafael_Nadal,True
229,20150127-M-Australian_Open-QF-Stanislas_Wawrinka_-Kei_Nishikori,True
230,20150125-M-Australian_Open-R16-Bernard_Tomic-Tomas_Berdych,True
231,20150123-M-Australian_Open-R32-Fernando_Verdasco-Novak_Djokovic,True
232,20141123-M-Davis_Cup_World_Group_F-RR-Richard_Gasquet-Roger_Federer,True
233,20140914-M-Davis_Cup_World_Group_SF-RR-Roger_Federer-Fabio_Fognini,True
234,20140906-M-US_Open-SF-Novak_Djokovic-Kei_Nishikori,True
