,PtsServer,PtsRet,Gm1,Gm2,Set1,Set2,Svr,Ret,PointType
744,40,30,1.0,1.0,1,0,2,1,GamePoint
749,15,40,1.0,2.0,1,0,1,2,BreakPoint
750,30,40,1.0,2.0,1,0,1,2,BreakPoint
752,50,40,1.0,2.0,1,0,1,2,GamePoint
758,40,30,2.0,2.0,1,0,2,1,GamePoint
763,40,15,2.0,3.0,1,0,1,2,GamePoint
767,40,0,3.0,3.0,1,0,2,1,GamePoint
771,40,0,3.0,4.0,1,0,1,2,GamePoint
775,40,0,4.0,4.0,1,0,2,1,GamePoint
779,40,0,4.0,5.0,1,0,1,2,GamePoint
780,40,15,4.0,5.0,1,0,1,2,GamePoint
785,40,15,5.0,5.0,1,0,2,1,GamePoint
791,30,40,5.0,6.0,1,0,1,2,BreakPoint
795,40,0,0.0,0.0,1,1,2,1,GamePoint
800,15,40,0.0,1.0,1,1,1,2,BreakPoint
801,30,40,0.0,1.0,1,1,1,2,BreakPoint
803,40,50,0.0,1.0,1,1,1,2,BreakPoint
809,40,30,0.0,2.0,1,1,2,1,GamePoint
815,30,40,0.0,3.0,1,1,1,2,BreakPoint
817,40,50,0.0,3.0,1,1,1,2,BreakPoint
819,50,40,0.0,3.0,1,1,1,2,GamePoint
821,50,40,0.0,3.0,1,1,1,2,GamePoint
827,40,30,1.0,3.0,1,1,2,1,GamePoint
833,40,30,1.0,4.0,1,1,1,2,GamePoint
837,40,0,2.0,4.0,1,1,2,1,GamePoint
842,40,15,2.0,5.0,1,1,1,2,GamePoint
848,40,30,3.0,5.0,1,1,2,1,GamePoint
852,40,0,0.0,0.0,0,0,1,2,GamePoint
853,40,15,0.0,0.0,0,0,1,2,GamePoint
858,15,40,1.0,0.0,0,0,2,1,BreakPoint
863,40,15,2.0,0.0,0,0,1,2,GamePoint
869,40,30,3.0,0.0,0,0,2,1,GamePoint
873,40,0,3.0,1.0,0,0,1,2,GamePoint
879,40,30,4.0,1.0,0,0,2,1,GamePoint
881,40,50,4.0,1.0,0,0,2,1,BreakPoint
883,50,40,4.0,1.0,0,0,2,1,GamePoint
887,40,0,4.0,2.0,0,0,1,2,GamePoint
892,40,15,5.0,2.0,0,0,2,1,SetPoint
897,40,15,5.0,3.0,0,0,1,2,SetPoint
902,15,40,0.0,0.0,1,0,2,1,BreakPoint
906,40,0,1.0,0.0,1,0,1,2,GamePoint
912,40,30,2.0,0.0,1,0,2,1,GamePoint
918,40,30,2.0,1.0,1,0,1,2,GamePoint
920,50,40,2.0,1.0,1,0,1,2,GamePoint
922,50,40,2.0,1.0,1,0,1,2,GamePoint
927,15,40,3.0,1.0,1,0,2,1,BreakPoint
933,40,30,4.0,1.0,1,0,1,2,GamePoint
939,30,40,5.0,1.0,1,0,2,1,MatchPoint
941,40,50,5.0,1.0,1,0,2,1,MatchPoint
945,40,0,0.0,0.0,0,0,1,2,GamePoint
951,40,30,1.0,0.0,0,0,2,1,GamePoint
953,50,40,1.0,0.0,0,0,2,1,GamePoint
955,50,40,1.0,0.0,0,0,2,1,GamePoint
