,Unnamed: 0,Unnamed: 0.1,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,rallyCount,PtsServer,PtsRet,Date,Gender,City,Round,P1Name,P2Name,bigmatchflag,IsCrucialPoint,abouttowin,winorsave,PointType,ClutchPlayer,ClutchPlayerWon,ClutchPlayerLost
288,288,288,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,88,1,0,1.0,0.0,15-40,14 (5),1,0,,2,1,DL,6d,6b38b3b3b3f3b3f1d@,,0,0.0,6d,6b38b3b3b3f3b3f1d@,0,1.0,0,1,6d,6,b38b3b3b3f3b3f1d@,False,False,False,False,True,False,b38b3b3b3f3b3f1d,b38b3b3b3f3b3f1,bbbbfbf,7,2,1,30-40,0,1,0,0,1,0,7,15,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Save,BreakPoint,Dusan_Lajovic,Dusan_Lajovic,Roberto_Bautista_Agut
289,289,289,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,89,1,0,1.0,0.0,30-40,14 (6),1,0,,2,1,DL,4d,4b38b2f1f3w@,,0,0.0,4d,4b38b2f1f3w@,0,1.0,0,1,4d,4,b38b2f1f3w@,False,False,False,False,True,False,b38b2f1f3w,b38b2f1f3,bbff,4,1,0,GM,1,2,0,0,1,0,4,30,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Win,BreakPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
298,298,298,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,98,1,0,3.0,0.0,15-40,16 (5),1,0,,2,1,DL,4d,6b38b3w@,DL CH b3w unsucc,0,0.0,4d,6b38b3w@,0,1.0,0,1,4d,6,b38b3w@,False,False,False,False,True,False,b38b3w,b38b3,bb,2,1,0,GM,1,4,0,0,1,0,2,15,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Win,BreakPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
303,303,303,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,103,1,0,4.0,0.0,15-40,17 (5),1,0,,1,2,RBA,5b29f3s3f1f1f2f1n@,,,0,,5b29f3s3f1f1f2f1n@,,1,,1,0,5,,b29f3s3f1f1f2f1n@,False,False,False,False,True,False,b29f3s3f1f1f2f1n,b29f3s3f1f1f2f1,bfsffff,7,1,1,30-40,0,4,0,0,1,0,7,15,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,2,Save,BreakPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
304,304,304,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,104,1,0,4.0,0.0,30-40,17 (6),1,0,,1,2,RBA,6f39b3b3b3b2b3b2f1f1f1f2b3b2f1w@,,RBA CH f1w unsucc,0,,6f39b3b3b3b2b3b2f1f1f1f2b3b2f1w@,,1,,1,0,6,,f39b3b3b3b2b3b2f1f1f1f2b3b2f1w@,False,False,False,False,True,False,f39b3b3b3b2b3b2f1f1f1f2b3b2f1w,f39b3b3b3b2b3b2f1f1f1f2b3b2f1,fbbbbbbffffbbf,14,2,0,GM,2,4,1,0,1,0,14,30,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,2,Win,BreakPoint,Dusan_Lajovic,Dusan_Lajovic,Roberto_Bautista_Agut
310,310,310,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,110,1,0,4.0,1.0,30-40,18 (6),1,0,,2,1,DL,4n,4b38b3b3b3b3b3b2b3b1f1w@,,0,0.0,4n,4b38b3b3b3b3b3b2b3b1f1w@,0,1.0,0,1,4n,4,b38b3b3b3b3b3b2b3b1f1w@,False,False,False,False,True,False,b38b3b3b3b3b3b2b3b1f1w,b38b3b3b3b3b3b2b3b1f1,bbbbbbbbbf,10,1,0,GM,1,5,1,0,1,0,10,30,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Win,BreakPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
316,316,316,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,116,1,0,5.0,1.0,40-30,19 (6),1,0,,1,2,RBA,4*,,,0,,4*,,1,,0,0,4*,,,True,False,False,False,False,False,,,,0,1,1,GM,1,6,1,1,2,0,1,40,30,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Win,SetPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
326,326,326,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,10,0,0,1.0,0.0,30-40,2 (6),1,0,,2,1,DM,6d,6f28b38s38f18f38b38b28f29b38b39b27f19f18f27s39b19l2d#,,0,0.0,6d,6f28b38s38f18f38b38b28f29b38b39b27f19f18f27s39b19l2d#,0,1.0,0,1,6d,6,f28b38s38f18f38b38b28f29b38b39b27f19f18f27s39b19l2d#,False,False,False,True,False,False,f28b38s38f18f38b38b28f29b38b39b27f19f18f27s39b19l2d,f28b38s38f18f38b38b28f29b38b39b27f19f18f27s39b19l2,fbsffbbfbbbfffsbl,17,2,1,40-40,0,1,0,0,0,0,17,30,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Save,BreakPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
339,339,339,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,23,0,0,2.0,1.0,30-40,4 (6),1,0,,2,1,DM,4*,,,0,,4*,,1,,0,0,4*,,,True,False,False,False,False,False,,,,0,2,1,40-40,0,2,1,0,0,0,1,30,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Save,BreakPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
341,341,341,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,25,0,0,2.0,1.0,40-AD,4 (8),1,0,,2,1,DM,6d,4b37b38b29b38b28b38b29b38b18f38s27u-37s-3n#,,0,0.0,6d,4b37b38b29b38b28b38b29b38b18f38s27u-37s-3n#,0,1.0,0,1,6d,4,b37b38b29b38b28b38b29b38b18f38s27u-37s-3n#,False,False,False,True,False,False,b37b38b29b38b28b38b29b38b18f38s27u37s3n,b37b38b29b38b28b38b29b38b18f38s27u37s3,bbbbbbbbbfsus,13,2,1,40-40,0,2,1,0,0,0,13,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Save,BreakPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
