,Unnamed: 0,Unnamed: 0.1,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,rallyCount,PtsServer,PtsRet,Date,Gender,City,Round,P1Name,P2Name,bigmatchflag,IsCrucialPoint,abouttowin,winorsave,PointType,ClutchPlayer,ClutchPlayerWon,ClutchPlayerLost
848,848,848,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,167,1,1,3.0,5.0,40-30,30 (6),1,0,,2,1,CM,4s29f3b3f3b3f3b3f1*,,,0,,4s29f3b3f3b3f3b3f1*,,1,,1,0,4,,s29f3b3f3b3f3b3f1*,False,False,True,False,False,False,s29f3b3f3b3f3b3f1,s29f3b3f3b3f3b3f1,sfbfbfbf,8,2,1,GM,2,3,6,2,1,2,9,40,30,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Win,SetPoint,Corentin_Moutet,Corentin_Moutet,Stanislas_Wawrinka
858,858,858,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,10,0,0,1.0,0.0,15-40,2 (5),1,0,,2,1,MK,4f19f2b3*,,,0,,4f19f2b3*,,1,,1,0,4,,f19f2b3*,False,False,True,False,False,False,f19f2b3,f19f2b3,ffb,3,1,0,GM,1,2,0,0,0,0,4,15,40,20200110,M,Doha,SF,Andrey_Rublev,Miomir_Kecmanovic,,True,1,Win,BreakPoint,Andrey_Rublev,Andrey_Rublev,Miomir_Kecmanovic
881,881,881,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,33,0,0,4.0,1.0,40-AD,6 (8),1,0,,2,1,MK,c5r28f+3*,,,0,,5r28f+3*,,1,,1,0,5,,r28f+3*,False,False,True,False,False,False,r28f3,r28f3,rf,2,2,1,40-40,0,4,1,0,0,0,3,40,50,20200110,M,Doha,SF,Andrey_Rublev,Miomir_Kecmanovic,,True,1,Save,BreakPoint,Miomir_Kecmanovic,Miomir_Kecmanovic,Andrey_Rublev
892,892,892,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,44,0,0,5.0,2.0,40-15,8 (5),1,0,,2,1,MK,4+f3d#,,,1,,4f3d#,,1,,1,0,4,,f3d#,False,False,False,True,False,False,f3d,f3,f,1,2,1,GM,2,5,3,0,0,0,1,40,15,20200110,M,Doha,SF,Andrey_Rublev,Miomir_Kecmanovic,,True,2,Win,SetPoint,Miomir_Kecmanovic,Miomir_Kecmanovic,Andrey_Rublev
897,897,897,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,49,0,0,5.0,3.0,40-15,9 (5),1,0,,1,2,AR,6s28f3*,,,0,,6s28f3*,,1,,1,0,6,,s28f3*,False,False,True,False,False,False,s28f3,s28f3,sf,2,1,1,GM,1,6,3,1,1,0,3,40,15,20200110,M,Doha,SF,Andrey_Rublev,Miomir_Kecmanovic,,True,1,Win,SetPoint,Andrey_Rublev,Andrey_Rublev,Miomir_Kecmanovic
902,902,902,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,54,1,0,0.0,0.0,15-40,10 (5),1,0,,2,1,MK,6b38b3s3f2n@,,,0,,6b38b3s3f2n@,,1,,1,0,6,,b38b3s3f2n@,False,False,False,False,True,False,b38b3s3f2n,b38b3s3f2,bbsf,4,1,0,GM,1,1,0,0,1,0,4,15,40,20200110,M,Doha,SF,Andrey_Rublev,Miomir_Kecmanovic,,True,1,Win,BreakPoint,Andrey_Rublev,Andrey_Rublev,Miomir_Kecmanovic
927,927,927,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,79,1,0,3.0,1.0,15-40,14 (5),1,0,,2,1,MK,4f27r2b1*,,,0,,4f27r2b1*,,1,,1,0,4,,f27r2b1*,False,False,True,False,False,False,f27r2b1,f27r2b1,frb,3,1,0,GM,1,4,1,0,1,0,4,15,40,20200110,M,Doha,SF,Andrey_Rublev,Miomir_Kecmanovic,,True,1,Win,BreakPoint,Andrey_Rublev,Andrey_Rublev,Miomir_Kecmanovic
939,939,939,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,91,1,0,5.0,1.0,30-40,16 (6),1,0,,2,1,MK,4b3n#,,,0,,4b3n#,,1,,1,0,4,,b3n#,False,False,False,True,False,False,b3n,b3,b,1,2,1,40-40,0,5,1,0,1,0,1,30,40,20200110,M,Doha,SF,Andrey_Rublev,Miomir_Kecmanovic,,True,1,Save,SetPoint,Miomir_Kecmanovic,Miomir_Kecmanovic,Andrey_Rublev
941,941,941,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,93,1,0,5.0,1.0,40-AD,16 (8),1,0,,2,1,MK,5d,5b37s3f3*,,0,0.0,5d,5b37s3f3*,0,1.0,0,1,5d,5,b37s3f3*,False,False,True,False,False,False,b37s3f3,b37s3f3,bsf,3,1,0,GM,1,6,1,1,2,0,4,40,50,20200110,M,Doha,SF,Andrey_Rublev,Miomir_Kecmanovic,,True,1,Win,SetPoint,Andrey_Rublev,Andrey_Rublev,Miomir_Kecmanovic
959,959,959,20200109-M-ATP_Cup-QF-Alex_De_Minaur-Daniel_Evans,18,0,0,1.0,0.0,40-AD,2 (14),1,0,,2,1,DE,4b38f1d@,,Evans challenges his last ball; which is out.,0,,4b38f1d@,,1,,1,0,4,,b38f1d@,False,False,False,False,True,False,b38f1d,b38f1,bf,2,1,0,GM,1,2,0,0,0,0,2,40,50,20200109,M,ATP_Cup,QF,Alex_De_Minaur,Daniel_Evans,,True,1,Win,BreakPoint,Alex_De_Minaur,Alex_De_Minaur,Daniel_Evans
973,973,973,20200109-M-ATP_Cup-QF-Alex_De_Minaur-Daniel_Evans,32,0,0,3.0,1.0,15-40,5 (5),1,0,,1,2,ADM,6*,,,0,,6*,,1,,0,0,6*,,,True,False,False,False,False,False,,,,0,1,1,30-40,0,3,1,0,0,0,1,15,40,20200109,M,ATP_Cup,QF,Alex_De_Minaur,Daniel_Evans,,True,2,Save,BreakPoint,Alex_De_Minaur,Alex_De_Minaur,Daniel_Evans
974,974,974,20200109-M-ATP_Cup-QF-Alex_De_Minaur-Daniel_Evans,33,0,0,3.0,1.0,30-40,5 (6),1,0,,1,2,ADM,4s37f38b29b29f38b38f39b38f19*,,,0,,4s37f38b29b29f38b38f39b38f19*,,1,,1,0,4,,s37f38b29b29f38b38f39b38f19*,False,False,True,False,False,False,s37f38b29b29f38b38f39b38f19,s37f38b29b29f38b38f39b38f19,sfbbfbfbf,9,2,0,GM,2,3,2,0,0,0,10,30,40,20200109,M,ATP_Cup,QF,Alex_De_Minaur,Daniel_Evans,,True,2,Win,BreakPoint,Daniel_Evans,Daniel_Evans,Alex_De_Minaur
998,998,998,20200109-M-ATP_Cup-QF-Alex_De_Minaur-Daniel_Evans,57,0,0,5.0,4.0,40-15,10 (5),1,0,,2,1,DE,6b38f28f18f17f+38m3p37s-1w#,,Evans tries to play the ball past the post but it's out.,0,,6b38f28f18f17f+38m3p37s-1w#,,1,,1,0,6,,b38f28f18f17f+38m3p37s-1w#,False,False,False,True,False,False,b38f28f18f17f38m3p37s1w,b38f28f18f17f38m3p37s1,bffffmps,8,1,0,40-30,0,5,4,0,0,0,8,40,15,20200109,M,ATP_Cup,QF,Alex_De_Minaur,Daniel_Evans,,True,2,Save,SetPoint,Alex_De_Minaur,Alex_De_Minaur,Daniel_Evans
999,999,999,20200109-M-ATP_Cup-QF-Alex_De_Minaur-Daniel_Evans,58,0,0,5.0,4.0,40-30,10 (6),1,0,,2,1,DE,4w,4b29f39b38f3w@,Evans gets a warning for a time violation.,0,0.0,4w,4b29f39b38f3w@,0,1.0,0,1,4w,4,b29f39b38f3w@,False,False,False,False,True,False,b29f39b38f3w,b29f39b38f3,bfbf,4,1,0,40-40,0,5,4,0,0,0,4,40,30,20200109,M,ATP_Cup,QF,Alex_De_Minaur,Daniel_Evans,,True,2,Save,SetPoint,Alex_De_Minaur,Alex_De_Minaur,Daniel_Evans
